Fecha,Tasa_desempleo
2015-03-01,0.08881
2015-04-01,0.09493
2015-05-01,0.08989
2015-06-01,0.08269
2015-07-01,0.08977
2015-08-01,0.09044
2015-09-01,0.08829
2015-10-01,0.08205
2015-11-01,0.07329
2015-12-01,0.08558
2016-01-01,0.08794
2016-02-01,0.10047
2016-03-01,0.10138
2016-04-01,0.09021
2016-05-01,0.08929
2016-06-01,0.08891
2016-07-01,0.09875
2016-08-01,0.08926
2016-09-01,0.08545
2016-10-01,0.09301
2016-11-01,0.07491
2016-12-01,0.08759
2017-01-01,0.11512
2017-02-01,0.10479
2017-03-01,0.09535
2017-04-01,0.08786
2017-05-01,0.09458
2017-06-01,0.08623
2017-07-01,0.09551
2017-08-01,0.09132
2017-09-01,0.09172
2017-10-01,0.08377
2017-11-01,0.08381
2017-12-01,0.08535
2018-01-01,0.11643
2018-02-01,0.10722
2018-03-01,0.09356
2018-04-01,0.09317
2018-05-01,0.09558
2018-06-01,0.08892
2018-07-01,0.09601
2018-08-01,0.09012
2018-09-01,0.09226
2018-10-01,0.0892
2018-11-01,0.08574
2018-12-01,0.09525
2019-01-01,0.12499
2019-02-01,0.11565
2019-03-01,0.10669
2019-04-01,0.10163
2019-05-01,0.10443
2019-06-01,0.092024
2019-07-01,0.10741
2019-08-01,0.10658
2019-09-01,0.10292
2019-10-01,0.09628
2019-11-01,0.09122
2019-12-01,0.09447
2020-01-01,0.12789
2020-02-01,0.12188
2020-03-01,0.12527
2020-04-01,0.19593
2020-05-01,0.21013
2020-06-01,0.19401
2020-07-01,0.19952
2020-08-01,0.16585
2020-09-01,0.15477
2020-10-01,0.14496
2020-11-01,0.1318
2020-12-01,0.13164
2021-01-01,0.17538
2021-02-01,0.15537
2021-03-01,0.14718
2021-04-01,0.15488
2021-05-01,0.15204
2021-06-01,0.14647
2021-07-01,0.1309
2021-08-01,0.12861
2021-09-01,0.11961
2021-10-01,0.11995
2021-11-01,0.11533
2021-12-01,0.11096
2022-01-01,0.14647
2022-02-01,0.12905
2022-03-01,0.12121
2022-04-01,0.11168
2022-05-01,0.10648
2022-06-01,0.11261
2022-07-01,0.11
2022-08-01,0.106
2022-09-01,0.107
2022-10-01,0.09721
2022-11-01,0.09501
2022-12-01,0.103
2023-01-01,0.137
2023-02-01,0.114
2023-03-01,0.10033
2023-04-01,0.10725
2023-05-01,0.10475
2023-06-01,0.09342
2023-07-01,0.09573
2023-08-01,0.09277
2023-09-01,0.09253
2023-10-01,0.09231
2023-11-01,0.09007
2023-12-01,0.10014
2024-01-01,0.12662
2024-02-01,0.11666
2024-03-01,0.11286
2024-04-01,0.10647
2024-05-01,0.10306
2024-06-01,0.10269
2024-07-01,0.09918
2024-08-01,0.09663
2024-09-01,0.09134
2024-10-01,0.09134
2024-11-01,0.08169
2024-12-01,0.09125
2025-01-01,0.11636
2025-02-01,0.1033
